类别,基线 first_playable,改进 first_playable,改进 first_content
中英混合,34702.6±8884.4,17835.0±7548.5,17835.0±7548.5
安全相关,40245.8±8169.8,12501.8±6523.4,12501.8±6523.4
对抗/恶意,8415.8±8447.3,6411.2±6180.3,11563.8±7329.2
工艺流程,38917.7±10519.6,10712.5±5548.7,10712.5±5548.7
数字编号,55835.3±22171.9,10481.3±4857.7,10481.3±4857.7
无关输入,13252.4±7117.1,10204.2±5025.7,10204.2±5025.7
简单中文,29332.6±7035.2,10685.5±6243.4,10685.5±6243.4
简单英文,34880.2±22097.5,12220.1±7795.5,12220.1±7795.5
造船术语,33916.2±8874.7,16022.5±6558.4,16022.5±6558.4
长句复杂,55982.7±19324.3,12563.7±4977.3,12563.7±4977.3
